@relation docs

@attribute text string
@attribute text_label {T,D,F}

@data
'00:00:00 boolean onCreateOptionsMenu',D
'WhatsApp STT SMS & WhatsApp STT Language: العربية WhatsApp Send Reset Tap above and record the message. void onCreate',D
'VIDEO PHOTO SQUARE void onClick ln l flash android.widget.LinearLayout',D
'Whiteboard Send void onSaveInstanceState',D
'Wi-fi Walkie Talkie void onCreate microphone image android.widget.ImageView',D
'Ways to use the app Say \"Lumos\" to turn the light on \r\n and \"Nox\" to turn it off Shake the smartphone to turn \r\n the light on and off Tap the screen and hold it \r\n to turn on the light Got it void onActivityResult',D
'Caller ID Pro Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Caller ID Pro Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick ',D
'Titanium Recorder Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras Show caller ID for contacts in phonebook void onClick ',D
'Caller ID Pro Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
